pi_name,organization,project_title,award_amount,start_date,award_date,abstract
"BELL, MICHELLE L",,"Hospital admissions risks from fine particulate matter by source sector, fuel type, and components: A national analysis",641308,,2026-02-10T00:00:00,"ABSTRACT
There is an urgent need to understand the health impacts of alternative air quality policies. Such policies can impact various source sectors (e.g., transportation), fuel type and chemical composition of fine particulate matter (PM2.5). Detailed characterization of the health consequences of exposure to PM2.5 sources and chemical composition will provide timely guidance to develop the most cost effective interventions for air pollution mitigation. The National Academy of Sciences, Health Effects Institute, US EPA, and Global Burden of Disease have all identified understanding health outcomes of air pollution sources as a critical research need. Prior studies suffer from the inability to identify relative contributions of sources and fuel types to pollutant mixtures, quantify uncertainties, or apply rigorous cross-validation, often due to lack of appropriate data and approaches. Most past analyses have inherently assumed that all PM2.5 mass is equally toxic, regardless of source or composition; in fact, PM2.5 is the only air pollutant regulated without regard to chemical form. To address this knowledge gap, we will conduct a nationwide analysis to determine which types of PM2.5 (e.g., source sectors, fuel types) are most associated with cardiovascular and respiratory hospital admissions. We will employ 2 large, well-characterized datasets (Medicare: >60 million participants ≥65 years, and Medicare Current Beneficiary Survey: >200,000 participants with detailed data on >100 individual-level variables). Using multiple approaches, including causal inference, we will test the hypothesis that health impacts of PM2.5 vary by pollution source and/or combustion type for cardiovascular and respiratory hospital admissions. We will estimate and validate PM2.5 exposure by chemical components (e.g., sulfate, organics, black carbon), source sectors, and fuel types for the continental US for 2000-2023 at monthly, ZIP code-level resolution by harmonizing data from satellites, air quality models, emissions inventories, and monitors (Aim 1). We will apply well-established approaches, modified for our analysis, to estimate exposure-response curves (ERCs), with causal interpretation, for PM2.5 and components (Aim 2). We will ensure computational scalability and account for uncertainty in estimated exposures, unmeasured confounding bias, and co-pollutants. We will estimate ERCs for cause-specific (cardiovascular, neurological, asthma, other respiratory) hospital admissions by PM2.5 type (Aim 3). This work will help air quality and health policymakers prioritize mitigation efforts to maximize health benefits. Findings will inform assessments of health effects of PM2.5 exposure. We will disseminate new exposure data, causal inference applications, and statistical code."
"BENNETT, RACHEL ELISE",,Microvascular Stress as a Pathway to Neurodegeneration in Alzheimer's,376449,,2026-02-09T00:00:00,"Project Abstract
Changes to cerebral microvasculature that impact blood flow and blood brain barrier function are increasingly
recognized as a key feature of early Alzheimer’s disease (AD) and cognitive impairment. The underlying
cause of this dysfunction is largely unknown, though data from transgenic mice indicates pathways related to
microvascular stress (inflammation, senescence, and angiogenesis) are upregulated with increasing amyloid
beta and tau deposition. This research will make use of human tissue samples collected in the Massachusetts
Alzheimer’s Disease Research Center (ADRC) and mouse models to examine the contribution of
microvascular stress to AD. In Aim 1, we will determine when and where microvascular stress appears in
relation to accumulation of amyloid beta plaques and tangles. In Aim 2, we will determine if microvascular
stress contributes to functional weakening of the blood brain barrier (BBB) in AD by measuring a panel of
serum proteins and by microdissecting “leaky” and “non-leaky” vessels to identify a mechanistic basis for
dysfunction at the level of individual vessel segments. In Aim 3 we will manipulate gene expression in
endothelial cells and test the causal role of specific microvascular stressors to pathological AD changes. This
work will assess human vascular transcriptomes from multiple brain regions in Alzheimer’s, providing
unparalleled information about how vascular cells are affected by AD pathology and insight into variability of
human brain vasculature that might underlie regional differences in disease susceptibility. Further, we will
make use of innovative methods including multiplex immunofluorescence to measure up to 18 proteins in
tissue sections at once, clear brain preparations to assess spatial relationships between stress markers and
AD pathology, and a novel adeno-associated virus that can specifically target endothelial cells in vasculature
and that may be an exciting tool for future therapeutic gene delivery. Overall, these studies will significantly
contribute to our knowledge of the biological mechanisms of impaired microvascular function in AD and will
help uncover biomarkers to identify patient populations that would benefit from vascular-directed therapeutics
arising from this project."
"BERKE, JOSHUA D",,Dopaminergic mechanisms for motivation and reinforcement learning,534498,,2026-02-09T00:00:00,"Summary / Abstract
 This research program seeks to describe and understand striatal dopamine (DA) signals, particularly in
the nucleus accumbens (NAc). NAc DA is a key regulator of both motivation and reward-related learning, and
drugs of abuse share the common property of enhancing NAc DA. Yet we lack a clear account of how DA
signals arise, how they are shaped by local NAc circuits, and how they modulate NAc output to influence
behavior. Our Aims for the next funding period address three specific aspects of DA signals that are currently
under active debate:
 First, why are NAc DA signals different to those in other parts of striatum? We found that NAc DA
evolves more slowly compared to dorsal areas, and shows a distinct response profile to reward-predictive
cues. We hypothesize that neural circuits involving NAc generate reward predictions and motivation over
longer time horizons. Using retrograde optogenetic tagging, we will compare the firing patterns of individual DA
cells that project to NAc subregions and other striatal areas, testing whether they define a temporal topography
of reward expectation and feedback.
 Second, does NAc DA release convey signals beyond those encoded in the firing of afferent DA cells?
We showed that changing the available reward for a behavioral task influences rats' willingness to work, and
alters NAc DA release, without any apparent change in DA cell firing. We will investigate whether motivation-
related changes in DA are instead sculpted by local cholinergic interneurons. To do this we will combine real-
time DA and ACh measurements, selective pharmacological agents, and optogenetic tagging of cholinergic
cells.
 Third, how do increases in DA release rapidly boost motivation? This is generally thought to involve
enhanced firing of NAc output neurons that express the D1 DA receptor, relative to those expressing the D2
receptor. However, some recent results suggest that both populations increase activity, while computational
models have cast doubt on whether DA can modulate cells quickly enough to explain observed behavioral
effects. To resolve this we will record the spiking of identified NAc D1+ and D2+ output neurons, while also
measuring and manipulating DA, at key behavioral moments.
 In each case we will take advantage of recent technical advances in optical chemical sensors, and of
our ability to record the firing of individual identified neurons in freely-moving rats. We will use multiple
carefully-controlled behavioral tasks, including an innovative new maze task in which rats display a trade-off
between expected reward and required effort. Together these studies will provide vital new results for our
understanding of NAc DA functions, along with rich, publicly-available data sets for the research community."
"BERS, DONALD M",,Calmodulin and Regulation of Cardiac Ryanodine Receptor and CaMKII,677685,,2026-02-13T00:00:00,"SUMMARY
 Our overall goal is to understand the structural mechanisms for functional regulation of the cardiac
ryanodine receptor (RyR2) and Ca/calmodulin-dependent kinase (CaMKII), two central signaling nodes
causally implicated in numerous cardiac pathologies, including heart failure (HF) and arrhythmias. Our focus is
on pathological states and their mitigation by drug-like compounds. Our structural studies using fluorescence
resonance energy transfer in physiological environments will evolve and animate the high resolution but static
cryo-EM/crystallography to the level of the dynamic heartbeat. This information is urgently needed to drive
novel therapeutic strategies for arrythmia and HF. Our team has complementary ideas, expertise (molecular
biophysics to confocal myocyte imaging and animal models) and a novel fluorescence tool to tackle important
issues concerning these two key targets (RyR2 and CaMKII) in two parallel aims.
 RyR2 is the primary Ca-release channel in the sarcoplasmic reticulum (SR), and contributes to and is a
therapeutic target for treating HF and arrhythmias. Our work has developed a new integrated mechanistic
paradigm explaining pathological RyR2 dysfunction that promotes arrhythmias, and systolic and diastolic
dysfunction in HF and diabetes. Importantly, the common pathological RyR2 structural state reduces
calmodulin (CaM) binding to RyR2, which results in elevated arrhythmogenic SR calcium leak. These
conformational structure-function shifts will be revealed by our FRET-based molecular tools that will also fuel
drug discovery assays to identify novel RyR therapeutics. Aim 1 here characterizes the dynamics of CaM
regulation of RyR2 in healthy and pathological states, resolving the structural and temporal implications of
pathologic CaM-RyR2 in isolated SR and cardiomyocytes. Further, we propose to test the potential therapeutic
impact of new candidate compounds on correcting pathological RyR2.
 CaMKII has emerged as a multifunctional central node in cardiac pathology, including HF, diabetes and
arrhythmias. CaMKII becomes chronically active in disease by multiple pathways of post-translational
modification (PTMs) that we have helped to uncover (autophosphorylation, oxidation, O-glycosylation and S-
nitrosylation - all in a key regulatory domain of CaMKII). CaMKII and RyR2 conspire at the core of a vicious
positive feedback cycle where CaMKII promotes RyR2 leak, to further activate CaMKII that can also regulate
many other myocyte targets. We will target CaM-RyR dysfunction in disease and use this approach for
understanding CaMKII dynamics and drug discovery. Aim 2 focuses on dynamic CaMKII structural/functional
states induced by pathological PTMs, using fluorescently tagged CaMKII and a new CaMKII-specific activity
reporter. Additionally, we will adapt these assays for high-throughput screening to identify compound research
tools selective for the pathological PTM induced state of CaMKII."
"BIAGGIONI, ITALO ",,Hemodynamic Effects of Positive Airway Pressure to Treat Supine Hypertension and Improve Neurogenic Orthostatic Hypotension,558202,,2026-02-12T00:00:00,"Orthostatic hypotension (OH) is a common disabling condition in the elderly, particularly in those with impaired
autonomic reflexes. Supine hypertension is the most common comorbidity; it not only increases the risk for target
organ damage but also induces pressure natriuresis during nighttime causing nocturia and volume depletion that
contributes to OH. Thus, nocturnal hypertension worsens daytime OH. Unfortunately, there is reluctance to
treat supine hypertension for fear of worsening OH. Sleeping in a head-up tilt (HUT) position can improve
nocturnal hypertension by reducing venous return, stroke volume and cardiac output, but tilt levels needed to
produce these effects are difficult to achieve clinically. In this application, we propose that increasing intrathoracic
pressure with continuous positive airway pressure (CPAP), at levels used clinically, will produce similar
hemodynamic effects as HUT, by inducing venous pooling into the splanchnic circulation. Indeed, our preliminary
studies show that CPAP, at levels used clinically, induces an acute and reversible decrease in blood pressure
in autonomic failure patients without obstructive sleep apnea (OSA) by a direct hemodynamic mechanism, and
this effect is sustained during the night and associated with decreased nocturia. In normal subjects this effect is
masked by compensatory sympathetic activation. The overall goal of this application is to test the hypothesis
that increasing intrathoracic pressure with CPAP is an effective treatment for nocturnal hypertension in patients
with autonomic failure and that, by reducing pressure diuresis, it will improve daytime OH. In Specific Aim 1,
we will characterize the hemodynamic mechanisms of CPAP in autonomic failure patients, determine its effects
on volume shifts from the thoracic to abdominal segments, on hormones that regulate natriuresis, and on central
blood pressure and indices of arterial stiffness. These indices are better predictors of negative cardiovascular
outcomes than brachial blood pressure, and this unique patient population will allow us to determine the effects
of CPAP unencumbered by sympathetic modulation. We also propose overnight proof-of-concept studies to test
the hypotheses that CPAP is effective in controlling nocturnal supine hypertension (Specific Aim 2) and reduces
nighttime diuresis, resulting in improvement of daytime orthostatic tolerance (Specific Aim 3). For these initial
proof-of-concept mechanistic studies we exclude patients with OSA because our focus is on the novel
hemodynamic effects of CPAP rather than suppression of apneic episodes. We believe the proposed studies
will lead to a clinically significant and innovative approach for the management of nocturnal hypertension in
patients with autonomic failure, changing the way we manage patients, and eliminating the controversy of
whether to treat, or not to treat, supine hypertension. If successful, lowering nighttime blood pressure will reduce
nocturia, which not only impairs sleep but also exposes patients to falls. More importantly, it will improve daytime
orthostatic tolerance and improve the quality of life of our patients. Our studies will also improve our basic
knowledge about the effects of CPAP on cardiovascular regulation, that can then be applied to other conditions."
"BIGELOW, TIMOTHY ALLEN",,Ultrasound Imaging and Treatment of Hernia Mesh,381808,,2026-02-06T00:00:00,"There is a critical need to develop a new device to noninvasively treat mesh infections without removing the
mesh. In the absence of such a device, the treatment of many mesh infections will remain highly invasive and
costly. This study's objective is to develop cavitation-based histotripsy to treat surgical mesh infections.
Histotripsy generates/excites a cloud of micron sized bubbles in the tissue which mechanically shred the targeted
cells. The physics of microbubble collapse promotes lysis of bacteria attached to the implant enhancing the
destruction of the bacteria biofilm causing the infection.
 Specific Aim #1: Improve pulsing scheme to reduce the impact of cavitation memory. We hypothesize that
adding lower amplitude pulses will reduce cavitation memory in our application as well drastically reducing
treatment times. The impact of the exposures on mesh properties will also be determined for the different
exposure conditions.
 Specific Aim #2: Improve mesh Contrast. We hypothesize that it will be easier to visualize the mesh if we
combine shear-wave and pulse echo imaging and/or increase mesh contrast by adding glass microspheres to
the polypropylene fibers. Increasing the contrast may also increase the effectiveness of our therapy by providing
a stronger reflection off the mesh increasing the pressure fields in the immediate vicinity of the mesh.
 Specific Aim #3: Test therapies safety and effectiveness in an animal model. We hypothesize that our
therapy will be able to treat bacteria biofilms on hernia mesh safely and effectively in an animal model. This
hypothesis will be evaluated by implanting infected mesh samples in a swine model at varying implant locations
and depths while also carefully assessing the tissue for any unintended damage.
 This project is significant because once developed thousands of patients each year would have an alternative
to invasive surgery for treating mesh infections. In addition, improving mesh contrast could improve patient care
even when no infection develops. Once feasibility has been shown for mesh infections, numerous other
implanted devices may be candidates for our same histotripsy-based treatment."
"BOMBERGER, JENNIFER MELINDA",,Impact of a Dual Function Type VI Secretion System (T6SS) Immunity Protein on Airway Microbiota,825054,,2026-02-13T00:00:00,"SUMMARY/ABSTRACT
Dense microbial communities known as the microbiota are intimately associated with human health. Invading
pathogens must overcome the microbiota to establish and successfully cause infections. In settings like the
gastrointestinal tract, antagonistic interactions between microbes can strongly influence colonization outcomes.
One highly prevalent pathway known to mediate these interactions the type VI secretion system (T6SS) which
mediates contact-dependent killing via the translocation of toxic effector proteins into recipient cells. How the
T6SS affects pathogen fitness and microbiota composition in other body sites, like the respiratory tract, is not
well understood. A model disease for studying microbial ecology and interspecies interactions is Cystic Fibrosis,
where polymicrobial communities of microorganisms colonize the respiratory tract due to defects in ion secretion
and pathological mucus accumulation. Pseudomonas aeruginosa (Pa) causes chronic infections, dominates the
airways of people with cystic fibrosis (pwCF) and is a major cause of morbidity and mortality. Pa harbors three
T6SS with a variety of effectors delivered to host and bacterial competitors. We have recently reported that a
T6SS effector, TseT, is delivered by the H2-T6SS and regulates microbial diversity in the upper respiratory tract
of pwCF. In addition to TseT, the tseT operon encodes an immunity protein, TsiT, which our preliminary studies
show also regulates Pa biofilm, in addition to its role as a bona fide immunity protein. TsiT has sequential and
structural homology to general LysR-type transcriptional regulators (LTTR), which are known to regulate diverse
genes including those involved in biofilm, metabolism, and quorum sensing. We have also identified diverse
homologs for tsiT in a variety of Gram-negative organisms, including Burkholderiales. These results have led us
to the overarching hypothesis that TsiT is a dual-function immunity protein that both regulates biofilm and
neutralizes the TseT effector. In this proposal, we will define the mechanism by which TsiT regulates biofilm,
investigate the evolution of tsiT homologs, and determine their impact on microbial ecology in polymicrobial
communities in the respiratory tract. To this end, we propose three aims: 1) Test the hypothesis that TsiT is a
transcriptional regulator that mediates Pa biofilm; 2) Test the hypothesis that tsiT diversity outside of P.
aeruginosa confers protection against Pa TseT intoxication; 3) Test the hypothesis that tsiT genes modulate P.
aeruginosa fitness during biofilm growth in a model CF respiratory microbiota."
"BRAUN, WERNER A",,Novel Artificial Intelligence approaches to distinguish allergenic from non-allergenic proteins,429499,,2026-02-13T00:00:00,"ABSTRACT
Allergic diseases have increased dramatically to become the most common human disorders in developed
countries. Despite improved clinical diagnosis and management, they are the leading cause of work and school
absences. The prevalence of food allergy is rising for unclear reasons, with prevalence estimates in the
developed countries around 10%. Peanut allergy affects 1–2% of the population in Westernized nations and is
a leading cause of food-induced anaphylaxis. Specifying and maintaining elimination diets places a significant
burden on patients, families and healthcare systems. The possibility of anaphylactic responses by sensitized
individuals complicates food manufacturing, as the products should be free of unmarked allergy triggers,
including peanuts, tree nuts, wheat, soy, fish, shellfish, eggs and milk. Thus, there is an unmet need to identify
allergen features and find proteins which could cause cross-reactions in sensitive individuals among
the vast number of proteins now catalogued in proteome databases. A first version of a novel machine
learning (ML) tool, AllergenAI, which used only amino acid sequences in three allergen protein databases, SDAP
2.0, COMPARE and AlgPred, achieved robust results. To further improve this ML model, we will use Alphafold-2
to model all proteins in these three databases and incorporate the 3D structural information into AllergenAI
(Aim1). The predictive abilities of AllergenAI will be experimentally assessed in Aim2, by analyzing the features
scores for well-studied vicilin allergens, which are among the most common allergens (with over 20 entries in
the Structural Database of Allergenic Proteins (SDAP), including the major allergen Ara h 1 of peanuts and its
homologues in tree nuts, legumes and cotton). The program’s ability to distinguish homologues in the very broad
vicilin protein family that could cause cross-reactions with IgE in allergic patient sera will be tested. The weight
parameters of AllergenAI will be fine-tuned by using a Large Language Model (LLM) ESM-2 in Aim 3. The
optimized AllergenAI will be benchmarked by comparison to other prediction methods for allergenic proteins that
are based on sequence alone. We hypothesize that artificial intelligence (AI) technologies that made dramatic
improvements in recent years will clarify the problem of “what makes a protein allergenic”. The application of AI
technology to allergen research is novel. Our combined experimental and computational approach will yield a
powerful new method to identify potential allergenic characteristics in new proteins and help design better
immunotherapies for allergenic diseases. The source code for the optimized AllergenAI model, documentation
for use and example input files will be made available from our SDAP 2.0 website, which is used extensively by
researchers and clinicians throughout the world."
"BRENNER, ALISON T",,Expanding access to colorectal cancer screening through community pharmacies: The PharmFIT study,582667,,2026-02-09T00:00:00,"Medically underserved populations are disproportionately affected by screen-preventable cancers, such as colorectal cancer (CRC). Entities such as the United States Preventive Services Task Force and the American Cancer Society recommend fecal immunochemical testing (FIT) as an effective home-based method for CRC screening. Annual FIT, when followed by a diagnostic colonoscopy for a positive result, can reduce CRC mortality on a population level. CRC screening is traditionally delivered as part of a medical visit. However, due to short visit times and competing demands among providers and patients alike, patients, even those who regularly attend medical visits, may miss out on screening, putting them at a higher risk of serious disease. FITs can be easily distributed in non-traditional healthcare settings and can help bridge the gap in care for underserved populations. Community pharmacies hold promise as a site for CRC screening because of their accessibility and pharmacists’ expanding role in delivering preventive services. Based on our formative work demonstrating the acceptability and feasibility, as well as pilot effectiveness, of FIT delivery in pharmacies, our objective is to evaluate the effectiveness and implementation of a pharmacy-based FIT intervention called PharmFIT. Through collaboration with community partners such as the North Carolina Network Consortium (NCNC), the Washington, Wyoming, Alaska, Montana, and Idaho Practice Research Network (WPRN) and the Community Pharmacy Enhanced Services Network (CPESN), our aims are to: 1) evaluate the impact, 2) assess the implementation, and 3) estimate the costs of the PharmFIT intervention. We will conduct a randomized controlled trial to assess the impact of PharmFIT on CRC screening rates in eligible primary care patients who are not up to date. Patients will be individually randomized to a usual care arm or a PharmFIT arm and we will determine whether there are statistically significant differences in CRC screening rates. Concurrently, we will use a mixed-method approach to assess a range of preliminary implementation outcomes, identify barriers and facilitators (i.e., determinants) of those outcomes, and identify implementation strategies to support future PharmFIT implementation to be explored in future research. Finally, we will calculate the cost of PharmFIT using collaborative process flow mapping to inform micro-costing and budget impact analysis. We hypothesize that the PharmFIT intervention will increase CRC screening uptake over usual care by providing better access and more opportunities for preventive services through a collaborative pharmacy/primary care approach."
"BRICKER, JONATHAN B",,Providing nicotine replacement therapy to enhance the efficacy of a smoking cessation smartphone app for Hispanic adults,647926,,2026-02-09T00:00:00,"Hispanic adults, the largest and fastest growing population in the United States (US), have higher rates of smoking-related morbidity and mortality. They lack access to standard smoking cessation treatments primarily due to the absence of medical insurance and guidance from healthcare providers to quit. Needed now is rigorous research on methods to enable Hispanic adults to access efficacious evidence-based interventions to quit smoking. Two widely available cessation methods that hold promise for Hispanic adults are: (1) smartphone applications (“apps”) providing behavioral intervention, and (2) nicotine replacement pharmacotherapy (NRT). Apps can be freely accessed and widely available, with 91% of Hispanic adults owning smartphones. iCanQuit, based on Acceptance and Commitment Therapy, is the only app proven efficacious for smoking cessation in a Phase III randomized trial (N = 2415). Among Hispanic participants (N = 220) in the parent iCanQuit trial, results showed significantly higher self-reported 12-month 30-day point prevalence abstinence (PPA) rates for iCanQuit participants compared to QuitGuide participants—an app that follows US Clinical Practice Guidelines (34% iCanQuit vs. 20% QuitGuide; OR = 2.20; 95% CI: 1.10, 4.41, P = .02). Regarding medications, NRT has high reach. While combining behavioral intervention with NRT generally results in higher quit rates than behavioral intervention alone, existing evidence primarily stems from in-person clinical and telephone-based trials focused on non-Hispanic adults. Although some research suggests underutilization of quit smoking medications among Hispanic adults, our research indicates that providing free NRT improves its uptake. Most pertinently, we found that Hispanic iCanQuit participants who used NRT on their own within 3 months post-randomization showed descriptively higher self-reported 12-month 30-day PPA rates compared to non-users (45.5% users vs. 28.8% non-users, OR = 2.24; 95% CI: 0.54, 9.27, P = .26). It is unknown whether providing Hispanic adults with free NRT in combination with iCanQuit cost-effectively yields higher biochemically verified quit rates than iCanQuit alone. Thus, in a fully-powered RCT, this proposal will: (1) determine whether iCanQuit combined with free NRT (n = 427) has significantly higher biochemically verified 30-day PPA than iCanQuit alone (n = 427) at 12 months post-randomization; (2) determine the cost-effectiveness of iCanQuit plus NRT vs. iCanQuit alone, as measured by cost per quitter, cost per life year gained, and cost per quality-adjusted life year (QALY) gained. We will also apply the RE-AIM dissemination framework and conduct qualitative research on the barriers and facilitators to dissemination of each intervention to Hispanic adults nationwide. This rigorous trial will determine whether providing iCanQuit alone is sufficient or whether adding NRT cost-effectively yields higher quit rates for Hispanic adults who smoke."
"BUCHMAN, ARON S",,Identifying resilience proteins in key motor tissues that drive motor and cognitive decline and offset the negative effects of ADRD pathologies within and outside the brain,1195218,,2026-02-12T00:00:00,"Movement is a volitional behavior linked to Alzheimer’s disease and related dementias (ADRD). Though many older adults show some degree of Alzheimer’s disease and related pathologies, the extent that these pathologies degrade movement varies. The same amount of Alzheimer’s disease and related pathologies may be related to rapid decline in one adult and little loss in another. An adult who maintains movement or has a slower rate of decline in the presence of Alzheimer’s disease and related pathologies manifests motor resilience. To promote motor resilience, it is crucial to identify risk factors or proteins that offset the negative effects of Alzheimer’s disease and related pathologies. Shared neural substrate underlies motor and cognitive resources that control movement. So, it’s not surprising that cognitive resilience proteins are related to motor resilience. This study will complement our ongoing discovery of resilience using deep omics in “cognitive” brain regions with deep omics in key “motor regions” to identify new genes and proteins that may provide motor and cognitive resilience. 
This study responds to NOT-AG-20-053. We selected 3 key motor tissues in which to identify motor resilience proteins that may offset the negative effects of pathologies of Alzheimer’s disease and related dementias (ADRD) and degeneration in motor systems. We will then test if some of these proteins also provide cognitive resilience.
Compelling data support this study: 1) Alzheimer’s disease pathology in brainstem and spinal cord is related to a higher odds of dementia. 2) Large individual differences in degeneration of spinal motoneurons, nerve and muscle, highlight the need to measure their degeneration to isolate motor resilience. 3) Our systems biology and protein validation approach applied to RNAseq in dorsal lateral prefrontal cortex (DLPFC) identified cognitive resilience genes and proteins in prior work. 4) This approach can succeed in motor tissues as high quality RNAseq data, summarized as co-expression modules, was obtained from 3 key motor tissues (brain [SMA], spinal cord and muscle) from the same decedents. 5) As hypothesized, after isolating motor resilience, we identified proteins in DLPFC that provide resilience for motor or cognitive decline and some that provide resilience for both. 
Motor resilience manifests as slower motor decline. We will quantify Alzheimer’s disease and related pathologies in brain, brainstem, spinal cord, nerve and muscle to isolate motor resilience i.e., motor decline not explained by Alzheimer’s disease and related pathologies and degeneration. Aim 1 will apply a systems biology approach to transcriptome data from 3 key motor tissues (brain, spinal cord and muscle) to discover genes that may provide motor resilience. Aim 2 will verify these genes with SRM proteins and validate that these proteins are related to motor decline in an independent sample of adults. Aim 3 will test if motor resilience proteins also provide cognitive resilience and if aggregating multiple proteins into a person-specific index quantifies high and low resilience related to Alzheimer’s disease phenotypes. Aim 4 will test if resilience proteins link risk factors with motor and cognitive decline. Resilience proteins are high value targets for drug discovery to maintain motor and cognitive function despite the presence of untreatable Alzheimer’s disease and related pathologies. These data will also inform on mechanisms underlying motor and cognitive decline and risk factors which provide resilience."
"BURRIS, THOMAS P",,Exercise Mimetics for Dementia and Alzheimer's Disease,653981,,2026-02-11T00:00:00,"Project Summary
Dementia or major neurocognitive disorder is a condition of significant cognitive decline that impairs
independent living. Learning and memory, executive function, perceptual-motor function, social cognition, and
language may be affected. Although dementia is typically associated with aging, it is not a natural component
of the aging process. Dementia is associated with several diseases, but most commonly associated with AD
(60-80%). AD is a progressive neurodegenerative disease with clinical features that include memory loss,
cognitive impairment and dementia. More than 5 million Americans currently live with AD and it is expected to
increase to as much as 16 million by 2050. Ten percent of individuals over the age of 65 in the U.S. currently
have AD. Current treatments for AD have limited efficacy and there is a significant need for improved
pharmacological therapies. AD is characterized by the formation of senile plaques and neurofibrillary tangles in
the grey matter of affected individuals. The senile plaques are composed of extracellular deposition of
insoluble amyloid beta (Aβ) peptides that are typically associated with a wealth of microglia (brain resident
macrophages) and astrocytes. ERRs are orphan receptors that play a key role in regulation of oxidative
metabolism, and we have discovered that they function as exercise mimetics and enhance cognitive function in
normal and aged mice as well as decrease amyloid plaques in animal models of AD. The goal of this project is
to develop optimized ERR agonists that may be effective agents in treatment of dementia and Alzheimer's
disease."
"BUSCHMAN, TIMOTHY J.",,Neural Mechanisms of Rule-Based Behavior,403058,,2026-02-12T00:00:00,"PROJECT SUMMARY/ABSTRACT
Over our lifetime, we learn hundreds of ‘rules’ that define how we should act in a given situation. For example,
when in a restaurant, we follow a set of rules that guide the way we order, eat, and pay for a meal. By learning
and using rules, we can optimize our behavior and maximize social and physical rewards. Disrupting one’s ability
to learn and follow rules can be pathological. Such disruptions are associated with many neuropsychiatric and
neurodegenerative disorders, such as schizophrenia and dementia, where they carry high social and economic
costs. To develop novel, mechanistically-informed, treatments for these diseases, we must first develop a
detailed understanding of the neural mechanisms that support rules.
Here, we aim to understand how the brain flexibly learns, follows, and switches between several different rules.
Combining large-scale, multi-region electrophysiology with novel behavioral paradigms in monkeys, we will study
two aspects of flexible rule-based behavior:
First, one must be able to discover which rule to follow in a new situation. This requires integrating information
from the world to decide which rule, from a set of known rules, is the correct one for the situation. Our first aim
will leverage our large-scale recording techniques to distinguish hypotheses about the relative role of prefrontal
cortex, parietal cortex, and basal ganglia in integrating feedback and deciding which rule to follow.
Second, we aim to understand how multiple rules are learned, represented, and executed. Specifically, we will
test hypotheses that the representation of rules is structured: computationally similar rules use similar neural
mechanisms. Such structure is theorized to allow us to rapidly learn new rules in new situations. To this end,
monkeys will learn and perform multiple, computationally-related, rules. In our second aim, we will use a
combination of chronic and acute electrophysiology to track the neural representation of a rule through
learning. This will distinguish hypotheses about how the neural representation of a rule is structured, and how it
relates to other, similar, rules. In parallel, our third aim will use the same recordings to understand how rules
act on stimulus representations to transform them into rule-appropriate responses. We will test three theories
of cognitive control, including a novel dynamic model that hypothesizes rules act by dynamically transforming
neural representations between subspaces of neural activity.
While our proposed research is basic in nature, we believe it is an important first step in a mechanistic
understanding of the core cognitive deficits of several mental illnesses, including schizophrenia. We believe
this understanding will improve mental health by leading to new diagnostics and treatments for cognitive
disorders. In particular, we hope to use our results to develop physiological markers that will improve detection,
allow for earlier intervention, and guide targeted treatments."
