pi_name,institution,title,abstract,amount,notice_date
"AHN, ERIN EUN-YOUNG",UNIVERSITY OF ALABAMA AT BIRMINGHAM,Genetic and molecular basis of hematopoietic abnormalities in ZTTK syndrome,"PROJECT SUMMARY
Individuals with rare genetic diseases do not receive attention from the medical and research community. One
out of two patients diagnosed with a rare disease is a child, meaning that patients and their families must endure
long battles relating to disease progress throughout their child’s lifetime. Therefore, characterization of
clinical/molecular aspects of rare diseases will greatly benefit young patients and their families.
SON is a DNA- and RNA-binding protein that plays dual roles as an RNA splicing factor and a transcriptional
repressor. Our research team recently identified Zhu-Tokita-Takenouchi-Kim syndrome (ZTTK syndrome), a
rare genetic disease with multi-organ abnormalities caused by heterozygous loss-of-function mutations in the
SON gene (SON haploinsufficiency). Our research and publication played a key role in documenting this
syndrome in major public databases to facilitate clinical diagnosis. As a first step in supporting ZTTK families
and promoting awareness, we recently launched an official foundation, the ZTTK SON-Shine Foundation.
Our recent efforts revealed that many children with ZTTK syndrome experience various hematopoietic disorders
and immune dysfunction, which sometimes leads to life-threatening sepsis. To understand the hematopoietic
abnormalities associated with ZTTK syndrome, we have generated mouse models of Son knockout (KO) and
Son haploinsufficiency. Our preliminary data demonstrated that complete Son KO in hematopoietic cells causes
hematopoietic stem cell (HSC) expansion and embryonic lethality. Furthermore, we found that Son
haploinsufficiency leads to abnormal proportions of lineage-primed multipotent progenitors (MPPs), with an
expansion of megakaryocyte-erythroid lineage-primed MPPs and a shrinkage of lymphoid lineage-primed MPPs,
which is already evident during fetal liver hematopoiesis and persists in adult hematopoiesis in the bone marrow.
Importantly, our RNA-sequencing analyses revealed that critical chromatin modifier genes were the major targets
dysregulated by Son haploinsufficiency in early stage hematopoietic stem and progenitor cells (HSPCs).
Based on these preliminary data, our central hypothesis is that Son haploinsufficiency directly and indirectly
alters the expression/splicing of key chromatin modifiers, which collectively reshapes chromatin status at the
level of HSCs and MPPs, and this leads to skewed lineage bias and impaired functional output of HSCs/MPPs.
To test these hypotheses, we will investigate how Son haploinsufficiency affects functional output of HSCs and
lineage primed MPPs in vivo (Aim 1), and will dissect the underlying molecular mechanisms by which Son
haploinsufficiency leads to HSPC abnormalities (Aim 2). Successful completion of this proposed study will
significantly advance our knowledge about ZTTK syndrome-associated abnormal hematological features and
will serve as a valuable resource to identify therapeutic strategies. Most importantly, this study will bring hope to
children and their families battling this rare disease.",493219,2026-02-11T00:00:00
"AIZENMAN, CARLOS D",BROWN UNIVERSITY,Brown University Postbaccalaureate Research Education Program,"This proposal seeks continued support for the Postbaccalaureate program at Brown University (renamed ‘PREP@Brown) to advance our work in developing a highly-talented pool of knowledgeable and well-trained individuals who go on to pursue Ph.D. degree training and careers in the biomedical sciences. This work responds to the need to expand the U.S. STEM workforce. Informed by best practices and lessons learned from our ongoing work, we describe an innovative program characterized by a comprehensive and customizable set of interventions to support and advance students' academic and career development and success.  
 Each year, our program will recruit and support six research-oriented baccalaureate graduates (The Scholars) and provide them with interdisciplinary research experiences, individualized academic planning, professional development, and skill-building activities to increase their competitiveness and readiness for high-caliber doctoral programs. Participating departments for Brown’s PREP@Brown program are those in the Life and Medical Sciences Division and include biology, neuroscience, molecular microbiology and immunology, pathobiology, public health, and cognitive, linguistic, and psychological sciences. In addition to intensive interdisciplinary research experiences and knowledge development, multiple mentorship and community-building opportunities permeate the activities of PREP@Brown. This will create a community of scholars that will help participants successfully navigate training needed for readiness for graduate studies. The use of Individual Development Plans (IDP) will ensure that PREP@Brown research, educational and professional development activities are tailored to address each Scholar’s academic and career goals. The PREP@Brown Program will also create opportunities for faculty to engage in conversations about the importance of developing a talented workforce in the biomedical and behavioral sciences. We have developed a comprehensive evaluation plan to assess outcomes and progress toward meeting the overall goal and aims of this project and monitor quality assurance across the proposed interventions.  
 As designed, PREP@Brown has begun to, and will continue to increase the production of highly-qualified students who obtain a doctoral degree in the biomedical sciences and institutionalize best practices on training and mentoring – practices that can be shared among the Brown community and beyond.",286107,2026-01-26T00:00:00
"AJALA, AFIS ","GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC",Functional Magnetic Resonance Imaging and Deep Learning to Improve Deep Brain Stimulation Therapy,"PROJECT SUMMARY/ABSTRACT
Successful treatment of Parkinson's disease (PD) using deep brain stimulation (DBS) therapy requires an
optimal setting of stimulation parameters to correct brain function anomalies. The commonly employed DBS
1.0 electrodes have only four contact locations (with no stimulation directionality) that are used to electric
pulses to a target volume of the brain. DBS 1.0 electrodes require the optimization of four stimulation
parameters: signal frequency, voltage, pulse width, and contact location. In current standard-of-care
optimization protocol, the DBS parameters are adjusted (via trial and error) until the physician determines an
optimal set of parameters. This empirical optimization protocol requires numerous clinical visits (~6 weeks
interval) that substantially increases the time to optimization (TTO) per patient (~1 year), financial burden,
and ultimately limits the number of patients that can have access to DBS therapy. Even though there are more
effective electrodes, DBS 1.0 electrodes are mostly used by clinicians because their smaller parameter space
pose less difficulty during manual clinical optimization. However, DBS 1.0 electrodes cannot be directed to
stimulate a smaller volume of tissue, which can lead to extraneous stimulations that can reduce patient clinical
benefits and increase side effects. By contrast, the newer DBS electrodes (dubbed DBS 2.0) have a greater
number of contact locations and can be programmed to stimulate a smaller volume of tissue at multiple levels
and directions. Several published reports have shown that DBS 2.0 electrodes (compared to DBS 1.0) are more
energy-efficient and improve patient outcomes with lesser side-effects and a wider therapeutic window.
However, the expanded DBS 2.0 parameter space has made empirical programming of the electrodes difficult
as the TTO per patient is beyond acceptable clinical timeframes. This increased difficulty has hindered
adoption of DBS 2.0 electrodes by clinicians. To significantly shorten and simplify DBS 2.0 parameter
optimization—thus enabling its wider adoption for more precise therapy—a uniquely qualified multi-
disciplinary team of magnetic resonance imaging (MRI) physicists, artificial intelligence (AI) engineers, and
clinicians from GE Research and the University Health Network propose to: 1) develop a semi-automated
functional MRI (fMRI) and deep learning (DL)-based system for rapid optimization of DBS 2.0 parameters; 2)
demonstrate its clinical benefit in the treatment of PD patients using bilateral stimulation of the sub-thalamic
nucleus with DBS 2.0 electrodes in a pilot study. Success of this program will decrease the TTO per patient for
PD patients with DBS 2.0 implants to ~1 hour, and will improve patient throughput and outcomes in the
treatment of PD. The proposed fMRI-DL-based optimization method may also improve access by making it
possible for non-expert centers (without highly specialized clinicians) to carry out stimulation parameters
optimization in patients after the electrode insertion surgery have been completed in expert centers.",266847,2026-01-30T00:00:00
"AJALA, AFIS ","GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC",Functional Magnetic Resonance Imaging and Deep Learning to Improve Deep Brain Stimulation Therapy,"PROJECT SUMMARY/ABSTRACT
Successful treatment of Parkinson's disease (PD) using deep brain stimulation (DBS) therapy requires an
optimal setting of stimulation parameters to correct brain function anomalies. The commonly employed DBS
1.0 electrodes have only four contact locations (with no stimulation directionality) that are used to electric
pulses to a target volume of the brain. DBS 1.0 electrodes require the optimization of four stimulation
parameters: signal frequency, voltage, pulse width, and contact location. In current standard-of-care
optimization protocol, the DBS parameters are adjusted (via trial and error) until the physician determines an
optimal set of parameters. This empirical optimization protocol requires numerous clinical visits (~6 weeks
interval) that substantially increases the time to optimization (TTO) per patient (~1 year), financial burden,
and ultimately limits the number of patients that can have access to DBS therapy. Even though there are more
effective electrodes, DBS 1.0 electrodes are mostly used by clinicians because their smaller parameter space
pose less difficulty during manual clinical optimization. However, DBS 1.0 electrodes cannot be directed to
stimulate a smaller volume of tissue, which can lead to extraneous stimulations that can reduce patient clinical
benefits and increase side effects. By contrast, the newer DBS electrodes (dubbed DBS 2.0) have a greater
number of contact locations and can be programmed to stimulate a smaller volume of tissue at multiple levels
and directions. Several published reports have shown that DBS 2.0 electrodes (compared to DBS 1.0) are more
energy-efficient and improve patient outcomes with lesser side-effects and a wider therapeutic window.
However, the expanded DBS 2.0 parameter space has made empirical programming of the electrodes difficult
as the TTO per patient is beyond acceptable clinical timeframes. This increased difficulty has hindered
adoption of DBS 2.0 electrodes by clinicians. To significantly shorten and simplify DBS 2.0 parameter
optimization—thus enabling its wider adoption for more precise therapy—a uniquely qualified multi-
disciplinary team of magnetic resonance imaging (MRI) physicists, artificial intelligence (AI) engineers, and
clinicians from GE Research and the University Health Network propose to: 1) develop a semi-automated
functional MRI (fMRI) and deep learning (DL)-based system for rapid optimization of DBS 2.0 parameters; 2)
demonstrate its clinical benefit in the treatment of PD patients using bilateral stimulation of the sub-thalamic
nucleus with DBS 2.0 electrodes in a pilot study. Success of this program will decrease the TTO per patient for
PD patients with DBS 2.0 implants to ~1 hour, and will improve patient throughput and outcomes in the
treatment of PD. The proposed fMRI-DL-based optimization method may also improve access by making it
possible for non-expert centers (without highly specialized clinicians) to carry out stimulation parameters
optimization in patients after the electrode insertion surgery have been completed in expert centers.",265653,2026-02-05T00:00:00
"AL ALI, HASSAN ",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,Developing a kinase inhibitor drug to treat spinal cord injury,"ABSTRACT
Spinal cord injury (SCI) is a devastating condition with life-long consequences that include paralysis. Central
nervous system (CNS) axons typically fail to regenerate, leading to irreversible losses of neuronal connectivity
and associated functions after injury. SCI is now estimated to cost the nation’s healthcare system around $40.5
billion annually (CDC). People living with paralysis are often unable to afford health insurance that adequately
covers the associated complex secondary or chronic conditions, which places tremendous economic burden and
psychological suffering on them and their families. Developing a drug to treat SCI will address major healthcare
and societal needs.
Encouraging axon regeneration in the CNS is challenged by at least two separate mechanisms that suppress
axonal growth: 1) a lack of intrinsic regenerative capacity in adult CNS neurons, and 2) the extrinsic inhibitory
microenvironment confronting damaged axons. Despite decades of research and billions of NIH dollars spent,
there are still no approved drugs for promoting axon regeneration. Moreover, the effectiveness of drugs in
development is likely limited by the fact that each targets only one of the two growth-suppressive mechanisms.
We have discovered the first therapeutic candidate, in the form of a small molecule, which can simultaneously
address both sources of regeneration failure. We accomplished this using a combination of phenotypic
screening, target-based profiling, and machine learning to identify kinase targets within each of the two
mechanisms, extrinsic and intrinsic. We then identified a single small molecule (RO48) that manifests a
polypharmacology profile correlated with unusually robust promotion of axon growth. Remarkably, RO48 showed
high and reproducible efficacy in multiple animal models of SCI. We performed preliminary structure activity
relationship (SAR) studies on RO48 with three main motivations: 1) preliminary investigation of the SAR and hit-
to-lead feasibility, 2) improving the potency of RO48 in cell-based assays, and 3) generation of new composition
of matter IP to permit drug development. We were successful in demonstrating SAR and feasibility, as well as
generating new IP (International Patent Application No. PCT/US18/58411, inventors: Al-Ali et al.). Preliminary in
vitro and in vivo DMPK/Tox studies revealed that our chemistry efforts thus far have already eliminated several
liabilities of RO48. In this project, we aim to finalize the SAR studies and generate four lead candidates for animal
testing. We will then prioritize one lead to advance towards a Phase I clinical trial.",232474,2026-01-30T00:00:00
"ALBERTS, JAY L.",CLEVELAND CLINIC LERNER COM-CWRU,The Interplay between Genetics and Aerobic Exercise to Slow Parkinson's disease (GEARS) Trial,"PROJECT SUMMARY/ABSTRACT
Despite advances in pharmaceutical and surgical approaches to the treatment of Parkinson’s disease (PD), an
effective disease modifying treatment remains elusive. A growing body of evidence supports the notion that
high intensity aerobic exercise, when delivered in a highly supervised, well-controlled laboratory setting,
improves PD symptomology. Despite community exercise being recommended by the American Physical
Therapy Association, high intensity aerobic exercise performed in a community-setting is not supported by third
party payors and therefore not delivered by physical therapists. The aim of this project is to address two
fundamental gaps related to the widespread utilization of exercise to modify PD: 1) are community-based
exercise programs effective in altering disease progression? and 2) what is the role of genetics in modulating
the disease altering effects of high intensity aerobic exercise? Our underlying hypothesis is that high-intensity
community-based exercise is effective in slowing disease progression in PD and those positive effects are
more likely to occur in individuals with a lower genetic\biological burden. The proposed multi-site, Genetics and
Aerobic Exercise to Slow (GEARS) PD trial will determine the interplay between genetics and exercise in
altering PD progression. A total of 250 individuals with PD will be enrolled in Pedaling for Parkinson’s (PFP)
programs across six locations in NE Ohio and Salt Lake City. The PFP exercise protocol is rooted in our
established and effective laboratory-based exercise protocol for PD (e.g. exercise at 60-80% of heart rate
reserve and strive to pedal at 75 RPMs). The PFP community group will exercise 3 times per week for 12
months. A novel and efficient aspect of the GEARS Trial is the leveraging of PD control data (n=125) from Dr.
Alberts’ CYCLE-II RCT (2R01NS073717; enrollment completed March 2022). Identical clinical and
biomechanical data characterizing motor and non-motor function will be gathered from the PFP group to match
historical control outcomes. Genetic burden for PD will be determined for all 375 PD patients by determining
the PD polygenic risk score. Aims 1-3 will determine the disease altering potential of community-based
exercise using clinical and biomechanical outcomes reflective of motor and non-motor performance. A
prognostic model will be developed in Aim 4 to predict what factors are important in modulating the beneficial
effects of exercise on slowing disease progression. The model will facilitate understanding of the interplay of
genetics, aerobic exercise, and disease progression and serve as a non-incremental step in the development
of patient-specific exercise recommendations in which potential outcomes can be estimated. Demonstrating
the effectiveness of a community-based exercise program, that can be scaled for minimal cost, will bring an
effective intervention to PD patients that is not impacted by the healthcare reimbursement policy and politics.",552473,2026-01-31T00:00:00
"ALBRIGHT, ASHLEY R","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",Supplement For Continuity Through Major Life Event,"PROJECT SUMMARY
Cells are the building blocks that comprise and pattern multicellular organisms from plants to humans, and
many types of cells themselves exhibit complex shapes and patterns. While we understand many of the
molecular components of cells, we know much less about how they are assembled to create patterns at the
cellular scale. RNA regionalization, or spatially distinct localization of transcripts, is known to contribute to
cellular morphology and function in various cells such as neurons. Several diseases that arise in the brain,
from depression to Alzheimer’s, may also partly be explained by mislocalized RNA. To understand how cells
are patterned via RNA regionalization, we must also understand how the genome is spatially organized as
nuclear architecture and chromatin structure both influence gene expression. My proposal leverages the
strengths of a unicellular system, Stentor coeruleus, that possesses a complex cellular architecture including a
mouth and tail, and is capable of regeneration when damaged. Stentor cells also harbor a transcriptionally
active macronucleus that spans the 1 mm long axis of the cell with a unique beads-on-a-string configuration
and contains more than 50,000 copies of the genome. These properties enable microsurgery to physically
separate regions of the cell and its nucleus along a defined axis for sub-cellular and sub-nuclear analyses of
RNA and genome regionalization by sequencing, which is not possible in traditional model systems. First, I will
examine two independent models for cellular patterning by RNA regionalization. With RNAi and RNA-
sequencing in bisected cells, I will determine whether RNA transport promotes cellular asymmetry by defining
the cytoskeletal elements and associated motors required for RNA regionalization. With RNA-sequencing in
individual ‘nodes’ of the macronucleus, I will also determine if gene expression is regionalized, thereby
reducing the distance RNA must travel before it reaches its destination. Then, with chromatin profiling and
whole-genome sequencing, I will determine whether the genome is regionalized by spatial chromatin regulation
or differential localization of genes themselves and establish whether these are associated with RNA
regionalization and ultimately cellular patterning. To conduct this work, I will receive training in cell biology and
imaging, chromatin biology and genomics, as well as in tool development in emerging model organisms. This
innovative work will serve as the foundation for my independent research program, which aims to advance our
understanding of the consequences of disrupted cellular patterning in development and disease.",41862,2026-01-20T00:00:00
"ALDERETE, TANYA LYNN",JOHNS HOPKINS UNIVERSITY,Perfluoroalkyl Substances and the Gut Microbiome and Fecal Metabolome: Implications for Obesity Risk in Hispanic Children,"ABSTRACT
Childhood obesity is a high priority public health issue as it increases the risk of co-morbid diseases, including
cardiovascular disease, fatty liver disease, and type 2 diabetes. An improved understanding of the factors that
trigger the development of early life obesity is urgently needed. This is especially important among Hispanics, a
minority group with high rates of obesity in early life. Beyond poor diet and a lack of physical activity, early life
exposure to environmental chemicals, which are higher in underserved communities, independently contribute
to childhood obesity. Human studies show that even at low levels of exposure during pregnancy, poly- and
perfluoroalkyl substances (PFAS) are associated with rapid infant weight gain and greater risk for childhood
obesity. Postnatally, breastfeeding is a primary source of inadvertent PFAS transmission to infants, potentially
offsetting some benefits of extended breastfeeding. Recent findings suggest that the developing gut microbiome
is exposed to breast milk PFAS, which may alter gut bacteria and fecal metabolites that contribute to obesity.
Despite this, human studies have largely focused on prenatal PFAS exposure, and no prior studies have
examined the effects of breast milk PFAS on rapid infant growth and the gut microbiome during infancy, a critical
period in which interventions have the potential to prevent the development of childhood obesity. Our overarching
hypothesis is that higher concentrations of breast milk PFAS contribute to more rapid infant growth and childhood
obesity risk, and that these effects are explained by alterations in the composition and function of the infant gut
microbiome. This hypothesis is based on results from our preliminary data, which demonstrate that infant gut
bacteria are associated with infant weight and breast milk PFAS at 6-months of age. Our multidisciplinary team
of investigators propose to test this hypothesis in a cohort of 208 Hispanic mother-child pairs with assessments
of child growth at 1, 6, 12, 18, 24, and 36-months as well as at 6yr of age. This study will measure breast milk
PFAS concentrations and characterize the infant gut microbiome and fecal metabolome using archived breast
milk and stool samples at 1- and 6-months to advance our mechanistic understanding of the obesogenic effects
of PFAS exposure while accounting for prenatal PFAS exposure using newborn dried blood spots. Our aims are
to determine the extent to which early life exposure to breast milk PFAS are associated with: 1) child weight from
1-month to 6 years (Aim 1A) and the risk of rapid growth and childhood obesity (Aim 1B) as well as 2) changes
in gut microbial profiles and fecal metabolites (Aim 2). Our ultimate goal (Aim 3) is to integrate breast milk PFAS
exposure, gut microbiome, and fecal metabolomics profiles to identify subgroups of children that are at increased
risk for rapid growth and obesity. This study offers a unique opportunity to advance our understanding of breast
milk PFAS and may identify preventive measures that could be used to offset obesity-risk, including screening
for breast milk PFAS and the use of probiotics to promote growth of beneficial gut bacteria in early life.",632567,2026-01-23T00:00:00
"ALEXANDER, ALLYSON LAURA",UNIVERSITY OF COLORADO DENVER,Getting Excited about Cortical Malformations: Discovering the Mechanisms Leading to Seizure-prone Neurons in Malformations of Cortical Development,"Abstract
 Background: Following surgical resection for intractable epilepsy caused by malformations of cortical
development (MCDs), over 30% of children continue to have life-changing seizures. Mutations in genes of the
mechanistic target of rapamycin (mTOR) pathway lead to these disorders that include focal cortical dysplasia
(FCD), tuberous sclerosis complex and hemimegalencephaly. Therefore, there is a critical need to discover the
specific mechanisms by which increased mTOR signaling leads to the development of epilepsy to develop
specific therapies for children with MCDs. The central hypothesis of this proposal is that mTOR pathway
upregulation in pyramidal cells causes axon overgrowth, creating an epileptogenic network in both mouse and
human MCDs
 Methods: The first step in testing the central hypothesis will be to determine the effect of mTOR pathway
upregulation on axonal length in mouse FCD and human MCDs via quantifiable analysis of fluorescently labeled
murine axons of and by 3D reconstruction of individually filled human neurons. A second set of experiments will
be performed to determine whether some pyramidal neurons act as operational hub cells in human and mouse
MCDs. Calcium imaging on ex vivo brain slices of mouse and human tissue will be used to define the local
network connectivity and identify hub cells. Finally, axonal degeneration will be induced in vivo in dysplastic cells
in mouse FCD to determine the effect of targeted reduction in axon length on seizure frequency.
 Implications: The proposed research will help to determine whether axonal overgrowth is a key mechanism
by which mTOR upregulation leads to the generation of pharmacoresistant epilepsy in children with MCDs.
Additionally, this project will demonstrate whether targeting axonal overgrowth offers the potential for treatment
of seizures. Thus, the results of this research will provide further biological understanding of MCD and provide
hope for rational development of future successful therapies for children with this set of disorders.
 Career Development Plan: During the five years of this award, Dr. Alexander will work with a team of
mentors to achieve six specific career goals which allow her to accomplish this project and will also cement her
transition to independent investigator. With hands-on mentorship and a focused set of coursework, she will work
towards three training goals. These are as follows: 1) to obtain training and mentorship in the principles and
techniques of molecular neuroscience; 2) to obtain mentorship and training in neuronal network analysis using
calcium imaging; and 3) to obtain training and mentorship in laboratory management as a neurosurgeon-
scientist. Dr. Alexander is a pediatric neurosurgeon at Children's Hospital Colorado. Her chairman and division
chief continue to support 50% protected time through on-campus resources which include dedicated research
space, a rodent EEG core, shared equipment and a startup package for laboratory equipment and personnel.",203824,2026-01-23T00:00:00
"ALEXANDER, COURTNEY CARROLL",UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,U-RISE at the UNC Pembroke,"The U-RISE program at the University of North Carolina at Pembroke aims to increase the number of students who pursue a terminal degree in biomedical or behavioral science and ultimately enter the biomedical research workforce. In order to accomplish this goal, we aim to recruit 4 trainees annually and provide them with two years of research training and experience with passionate faculty preceptors (for a total of 8 trainees supported each year). Research training will include basic skills such as lab safety and documenting experiments but also in communication skills, both written and oral, through practice writing abstracts, direction in reading primary sources, and presenting research in the form of elevator talks, poster and oral presentations. In addition, the trainees will be retained due to the formation of a strong cohort and supported by a three-pronged mentorship approach from peers, program leadership and research faculty. Furthermore, career exploration and development will aid in their retention by giving the trainees a more concrete picture of their future. Setting and accomplishing goals will be modeled through the development and monitoring of an individual development plan (IDP). To increase retention and resiliency in graduate training, trainees will take part in workshops and activities aimed at helping them develop coping and self-care strategies and increase self-efficacy and science identity. Recruitment of trainees will be facilitated by a pre-U-RISE summer research experience open to all students in the included majors. As a result of these activities, we expect that at least 90% of the RISE Fellows will graduate with a BS degree in biology, chemistry or physics and at least 75% of RISE Fellows will have entered a biomedical research graduate program within 3 years after graduation. The evidence-based interventions in the research training program will successfully prepare UNCP graduates to be confident, competent and experienced candidates to enter and succeed in biomedical research careers.",253026,2026-02-06T00:00:00
"ALEXANDER, GREGORY L.",COLUMBIA UNIVERSITY HEALTH SCIENCES,Impact of Nursing Home Leadership Care Environments and Health Information Technology on Outcomes of Residents with Alzheimer's Disease and Related Dementias (ADRD),"Our study examines the Impact of Nursing Home Leadership, Care Environments and Health InformationTechnology on Outcomes of Residents with Dementia. Approximately 42% of 1.3 million nursing home (NH) residents have dementia. NH residents with dementia have frequent and longer length of stays than residents with other types of chronic illnesses. Nurse practitioners (NPs) are a predominant provider of NH care in the U.S. for residents with dementia with 11,222 clinicians providing care in 5000 facilities. A growing strategy for improving resident outcomes is to effectively integrate health information technology (HIT) into NH care delivery. The use and integration of HIT into resident care, clinical support and administrative activities (known as HIT maturity) enhances care coordination and communication between NPs and staff, enabling NPs to manage resident health conditions better and improve resident outcomes. Evidence supports that NPs deliver higher quality care to residents in more positive care environments with supportive collegial relationships, greater access to resources and information. Studies focusing on NH dementia care delivery confirm that technology, shared communication, and care environments with clearly defined NP roles, helpful relationships, and supportive care lead to improved quality. We will examine the impact of NH HIT maturity and care environments on outcomes of residents with dementia, including hospitalizations and emergency department
visits. Our specific aims are to: 1) Provide comprehensive assessments of HIT maturity and NP care environments in NHs with dementia residents, 2) Examine the impact NH HIT maturity and NP care environments on a differences in outcomes for residents with dementia, and 3) Explore facilitators and barriers for achieving improved outcomes of NH residents with dementia in various HIT maturity and care environments from the perspectives of NH administrators and NPs, respectively. During Aim 1 we will survey administrators and NPs from 1400 NHs collecting HIT maturity and care environment data from each discipline. We will link surveys to national NH data. We will assess differences in HIT maturity and NP care environments by NH characteristics. The association between HIT maturity and care environments will also be tested. During Aim 2 we will explore the potential mediating role of care environment on the relationship between HIT maturity and health outcomes. We will link surveys and resident level data (i.e. Medicare claims) during the same years’ surveys are conducted. During Aim 3 we will conduct key informant interviews with NH administrators (n = 70) and NPs (n = 70) representing a variety of HIT maturity and care environments. Understanding HIT maturity and care environments where administrators and NPs work will help us identify methods to unlock their maximum potential to improve quality of NH care for residents with dementia. Our study will identify differences in HIT maturity and care environments in NHs where administrators and NPs work, allowing us to identify targeted interventions that can be implemented to improve outcomes of residents with dementia.",688301,2026-01-30T00:00:00
"ALEXANDER, MATTHEW SCOTT",UNIVERSITY OF ALABAMA AT BIRMINGHAM,Molecular and therapeutic correction of XMEA using novel zebrafish and mouse models,"PROJECT SUMMARY/ABSTRACT
The objective of this proposal is to define the molecular mechanisms and identify new therapeutic strategies for
of an understudied class of myopathies, specifically X-linked myopathy with excessive autophagy (XMEA).
XMEA is characterized by elevated levels of autophagy due to disruptions in the autolysosome function. One
MEA of interest is X-linked myopathy with excessive autophagy (XMEA), a rare autophagic vacuolar myopathy
that characterized by progressive proximal muscle weakness, high levels of serum creatine kinase and
accumulation of autophagic vacuoles. XMEA is caused by pathogenic mutations in the VMA21 gene in which N-
terminal loss-of-function variants result in early death by 10 years and milder pathogenic VMA21 splicing variants
result in a slower disease progression. Patients with VMA21 pathogenic mutations have a defective autophagy
and an impaired ability to form the autophagosomes. VMA21 is a subunit of the V-ATPase protein pump and its
disruption results in a failure to properly acidify the autolysosome resulting in the formation of vacuolar inclusions
in XMEA. No extensive biomarker studies have been performed in the XMEA population resulting in a dearth of
knowledge and the lack of suitable XMEA models is a significant barrier towards any effective treatment.
We have generated a Vma21 knock-in (Vma21 KI) mouse model based on an RNA-splice mutation identified in
a set of XMEA patients observed at our Children’s of Alabama muscular dystrophy clinic. Vma21 KI mice have
a progressive muscle weakness, impaired muscle function, and have vacuolar inclusions that form as they age,
which phenocopies the XMEA patient symptoms. In parallel, we generated vma21 mutant zebrafish that have a
severe loss-of-function (LoF) pathology resulting in muscle paralysis, vacuolar inclusion bodies, and early
lethality by 10 days post fertilization (dpf). An autophagy drug library screen of our vma21 mutant zebrafish
identified edaravone, an FDA-approved autophagy and oxidative stress inhibitor for ALS, as the most corrective
compound out of 29 leads for XMEA zebrafish pathologies. This proposal seeks to establish molecular and
therapeutic biomarkers for XMEA based on our analysis of XMEA patient cells, and VMA21-defective zebrafish
and mouse models, with an emphasis on the Vma21 KI mice. Proteomic evaluation of the muscles from Vma21
KI mice will allow us to identify VMA21-dependent factors that progress with XMEA disease status. We also seek
to evaluate the therapeutic mechanism of action for edaravone in a 6 month treatment of our Vma21 KI mice.
These studies seek to establish the XMEA/VMA21 disease processes while advancing a promising autophagy
inhibitor compound to eventually treat these XMEA patients suffering from this devastating neuromuscular
disorder.",149000,2026-01-28T00:00:00
"ALEXOV, EMIL GEORGIEV",CLEMSON UNIVERSITY,"DelPhi and associated resources: maintenance, development and applications","We are a computational lab and our research is within the areas of Computational Biophysics,
Bioinformatics, and modeling molecular effects associated with disease-causing mutations. We
develop methods, software, and webservers to enable modeling of various processes in Molecular Biology.
In the past, our primary interest was in Structural Biology, and thus the focus was on using structural
information to investigate proteins, RNAs, DNAs and their assemblages with regard with their stability,
interactions, dynamics, conformational and protonation changes, and effects of amino acid mutations (our lab
won CAGI-6 MAPK-3 challenge in 2022, to predict folding free energy changes caused by mutations). We
carry such investigations in collaborations with experimental labs. Recently we became very interested in
human genetic disorders caused by missense mutations and the molecular mechanisms which cause
pathogenicity. Our efforts were recognized by the community, and we were given the privilege to establish
and chair the first Gordon Research Conference (2014) on “Human SNPs and disease”, which is now
permanent event in GRC schedule.
With this proposal we are seeking support to continue maintain and develop DelPhi (popular method for
modeling electrostatics which currently has 8,000+ registered users), along with other methods and software
for predicting the effect of missense mutations on folding and binding free energy changes of the
corresponding macromolecules and their assemblages. Regarding DelPhi, we will focus on further
development of Gaussian-based approach of treating biological macromolecules as inhomogeneous objects,
which was shown to result in ensemble averaged folding and binding free energies. Regarding methods for
modeling effects of missense mutations on folding and binding free energies, maintenance and further
development will be done by combined first-principle and machine learning (ML) approaches. First-principle
approaches have the advantage to be applicable to any case, but are not as accurate as the ML. The ML
approaches are more accurate than the first-principle methods, however, they fail on cases not seen in the
training database. We anticipate that combining them into a consensus algorithm for predicting the change of
folding and binding free energy change will have the advantage to amplify their strengths while reducing their
deficiencies. First-principle methods further development will include the Gaussian-based entropy estimation
and novel method for calculation of electrostatic energy of inhomogeneous macromolecules; while for ML
methods it will include new features as the Gaussian-based density and entropy estimation. We will use the
above-mentioned developments along with third party methods to predict the dominant molecular effect of
missense mutations associated with diseases, in collaboration with experimental labs.",340540,2026-01-27T00:00:00
